player_Team,player_Name,player_Position,player_Total_Shots,player_Goals,player_Expected_Goals,player_Total_Passes,player_Assists,player_Big_Chances_Created,player_Tackles,player_Interceptions,player_Clearances,player_Saves,player_High_Claims,player_Punches,player_Appearances,player_Clean_Sheet,player_Yellow_Cards,player_Red_Cards,player_Status,player_Rating
ARS,William Saliba,DEF,0,0,0,152,0,0,9,2,7,0,0,0,2,2,0,0,Available,
ARS,Gabriel Magalhães,DEF,1,0,0.12,149,0,0,1,2,6,0,0,0,2,2,1,0,Available,
ARS,Benjamin White,DEF,2,0,0.07,100,0,0,1,1,2,0,0,0,2,2,0,0,Available,
ARS,David Raya,GK,0,0,0,57,0,0,0,1,1,6,1,1,2,2,0,0,Available,
ARS,Thomas Partey,MID,3,1,0.16,98,1,0.10-0.90,5,1,5,0,0,0,2,2,0,0,Available,
ARS,Kai Havertz,FWD,6,1,0.66,41,0,0.20+0.20,2,2,2,0,0,0,2,2,0,0,Available,
ARS,Martin Ødegaard,MID,2,0,0.27,81,0,0.21+0.21,3,1,0,0,0,0,2,2,1,0,Available,
ARS,Declan Rice,MID,2,0,0.15,56,0,0.57+0.57,1,3,3,0,0,0,2,1,1,0,Available,
ARS,Bukayo Saka,MID,6,1,0.4,48,2,0.66-1.34,5,0,1,0,0,0,2,0,1,0,Available,
ARS,Gabriel Martinelli,MID,1,0,0.08,38,0,1.13+1.13,2,0,0,0,0,0,2,1,0,0,Available,
CHE,João Félix,MID,2,1,0.26,13,0,0,0,0,0,0,0,0,1,0,0,0,Available,
CHE,Levi Colwill,DEF,0,0,0,125,0,0,2,3,8,0,0,0,2,0,0,0,Available,
CHE,Marc Cucurella,DEF,0,0,0,105,0,0,3,2,6,0,0,0,2,0,1,0,Available,
CHE,Wesley Fofana,DEF,1,0,0.04,103,0,0,1,2,6,0,0,0,2,0,0,0,Available,
CHE,Robert Sánchez,GK,0,0,0,68,0,0,0,0,1,5,3,0,2,0,0,0,Available,
CHE,Moisés Caicedo,MID,1,0,0.03,88,0,0.03+0.03,4,3,0,0,0,0,2,0,1,0,Available,
CHE,Malo Gusto,DEF,0,0,0,80,0,0.07+0.07,8,1,4,0,0,0,2,0,1,0,Available,
CHE,Enzo Fernández,MID,3,0,0.22,110,0,0.12+0.12,6,0,1,0,0,0,2,0,0,0,Available,
CHE,Noni Madueke,MID,6,3,0.58,18,0,0.13+0.13,1,0,2,0,0,0,1,0,0,0,Available,
CHE,Pedro Neto,MID,1,0,0.04,37,1,0.24-0.76,1,1,0,0,0,0,2,0,0,0,Available,
CHE,Nicolas Jackson,FWD,2,1,0.63,37,1,0.35-0.65,0,0,1,0,0,0,2,0,0,0,Available,
CHE,Romeo Lavia,MID,0,0,0,39,0,0.55+0.55,3,3,1,0,0,0,1,0,0,0,Available,
CHE,Cole Palmer,MID,7,1,0.73,71,3,1.04-1.96,2,1,1,0,0,0,2,0,1,0,Available,
LIV,Virgil van Dijk,DEF,1,0,0.02,147,0,0,1,2,6,0,0,0,2,2,0,0,Available,
LIV,Ryan Gravenberch,MID,0,0,0,135,0,0,6,3,1,0,0,0,2,1,1,0,Available,
LIV,Ibrahima Konaté,DEF,2,0,0.18,106,0,0,2,1,6,0,0,0,2,1,0,0,Available,
LIV,Jarell Quansah,DEF,0,0,0,28,0,0,2,1,3,0,0,0,1,0,0,0,Available,
LIV,Alisson,GK,0,0,0,83,0,0,0,0,1,4,0,1,2,2,0,0,Available,
LIV,Cody Gakpo,FWD,1,0,0.03,15,0,0.13+0.13,1,0,1,0,0,0,2,0,1,0,Available,
LIV,Alexis Mac Allister,MID,2,0,0.1,98,0,0.14+0.14,2,2,1,0,0,0,2,2,0,0,Available,
LIV,Andrew Robertson,DEF,2,0,0.34,124,0,0.21+0.21,2,1,1,0,0,0,2,1,0,0,Available,
LIV,Mohamed Salah,MID,7,2,1.25,66,1,0.48-0.52,1,0,1,0,0,0,2,1,0,0,Available,
LIV,Dominik Szoboszlai,MID,4,0,0.23,110,0,0.76+0.76,1,0,1,0,0,0,2,2,1,0,Available,
LIV,Diogo Jota,MID,7,1,1.56,28,1,0.76-0.24,2,1,1,0,0,0,2,0,0,0,Available,
LIV,Luis Díaz,MID,6,1,1.19,61,1,1.30+0.30,4,0,1,0,0,0,2,1,0,0,Available,
LIV,Trent Alexander-Arnold,DEF,3,0,0.17,96,0,1.99+1.99,2,0,1,0,0,0,2,0,0,0,Available,
MCI,Erling Haaland,FWD,9,4,2.06,18,0,0,0,0,1,0,0,0,2,1,1,0,Available,
MCI,Rico Lewis,DEF,1,0,0.53,110,0,0,2,2,3,0,0,0,2,1,0,0,Available,
MCI,Rúben Dias,DEF,0,0,0,186,0,0,2,5,3,0,0,0,2,1,1,0,Available,
MCI,Joško Gvardiol,DEF,1,0,0.03,156,0,0,5,4,4,0,0,0,2,1,0,0,Available,
MCI,Phil Foden,MID,0,0,0,28,0,0,0,2,1,0,0,0,1,0,0,0,Available,
MCI,Ederson,GK,0,0,0,57,0,0,0,0,0,3,0,0,2,1,0,0,Available,
MCI,Jack Grealish,MID,1,0,0.1,14,0,0,1,0,1,0,0,0,1,0,1,0,Available,
MCI,Mateo Kova?i?,MID,2,1,0.13,98,0,0.05+0.05,7,1,2,0,0,0,2,1,0,0,Available,
MCI,Manuel Akanji,DEF,0,0,0,198,0,0.06+0.06,2,0,5,0,0,0,2,1,0,0,Available,
MCI,Sávio,MID,0,0,0,64,1,0.55-0.45,6,0,0,0,0,0,2,0,0,0,Available,
MCI,Bernardo Silva,MID,3,0,0.23,102,1,0.70-0.30,0,0,2,0,0,0,2,1,0,0,Available,
MCI,Jéremy Doku,MID,2,0,0.13,68,0,0.74+0.74,3,0,1,0,0,0,2,1,0,0,Available,
MCI,Kevin De Bruyne,MID,6,1,0.88,144,1,1.06+0.06,1,1,0,0,0,0,2,1,0,0,Available,
MUN,Scott McTominay,MID,1,0,0.07,9,0,0,0,0,1,0,0,0,2,0,0,0,Available,
MUN,Kobbie Mainoo,MID,1,0,0.03,86,0,0,5,10,0,0,0,0,2,0,1,0,Available,
MUN,André Onana,GK,0,0,0,72,0,0,1,0,2,4,2,1,2,1,0,0,Available,
MUN,Harry Maguire,DEF,1,0,0.04,105,0,0.02+0.02,1,5,8,0,0,0,2,0,1,0,Available,
MUN,Amad Diallo,MID,2,1,0.33,70,0,0.05+0.05,3,2,0,0,0,0,2,0,1,0,Available,
MUN,Mason Mount,MID,2,0,0.38,31,0,0.05+0.05,3,0,0,0,0,0,2,0,1,0,Available,
MUN,Joshua Zirkzee,FWD,1,1,0.07,18,0,0.09+0.09,1,0,0,0,0,0,2,0,0,0,Available,
MUN,Noussair Mazraoui,DEF,0,0,0,72,1,0.09-0.91,4,4,2,0,0,0,2,0,0,0,Available,
MUN,Alejandro Garnacho,MID,3,0,1.39,24,1,0.21-0.79,1,0,1,0,0,0,2,0,0,0,Available,
MUN,Diogo Dalot,DEF,1,0,0.02,111,0,0.30+0.30,4,3,5,0,0,0,2,1,0,0,Available,
MUN,Marcus Rashford,MID,0,0,0,47,0,0.38+0.38,0,1,1,0,0,0,2,1,0,0,Available,
MUN,Bruno Fernandes,MID,7,0,1.26,90,0,0.62+0.62,3,0,0,0,0,0,2,1,0,0,Available,
MUN,Casemiro,MID,6,0,0.26,106,0,0.76+0.76,9,1,4,0,0,0,2,1,0,0,Available,
TOT,Yves Bissouma,MID,1,1,0.1,80,0,0,2,1,1,0,0,0,1,0,0,0,Available,
TOT,Destiny Udogie,DEF,0,0,0,107,0,0,5,0,1,0,0,0,2,0,0,0,Available,
TOT,Guglielmo Vicario,GK,0,0,0,74,0,0,0,0,1,3,2,0,2,1,0,0,Available,
TOT,Rodrigo Bentancur,MID,3,0,0.25,47,0,0,3,2,0,0,0,0,1,0,1,0,Available,
TOT,Brennan Johnson,MID,3,0,0.26,45,0,0.13+0.13,8,0,0,0,0,0,2,1,0,0,Available,
TOT,Dejan Kulusevski,MID,0,0,0,27,1,0.22-0.78,1,0,2,0,0,0,2,0,0,0,Available,
TOT,Micky van de Ven,DEF,0,0,0,166,1,0.29-0.71,0,3,3,0,0,0,2,1,0,0,Available,
TOT,Cristian Romero,MID,4,1,0.62,193,0,0.30+0.30,7,0,6,0,0,0,2,1,0,0,Available,
TOT,Pedro Porro,DEF,2,1,0.12,113,0,0.34+0.34,3,2,2,0,0,0,2,1,0,0,Available,
TOT,Heung-min Son,MID,4,2,1.17,83,0,0.50+0.50,0,1,3,0,0,0,2,1,0,0,Available,
TOT,James Maddison,MID,4,0,0.43,122,2,1.04-0.96,1,1,4,0,0,0,2,0,0,0,Available,
